analysis,dataset,threshold_policy,families,tier,regime,method,tau,delta,weighting,n_families,n,n_present,n_absent,selected,correct,wrong,deferred,failures,present_selected,absent_selected,top1_correct,weighted_n,weighted_n_present,weighted_n_absent,weighted_selected,weighted_correct,weighted_wrong,weighted_deferred,weighted_failures,weighted_present_selected,weighted_absent_selected,weighted_top1_correct,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present,correct_yield_ci95,accepted_risk_ci95,absent_false_accept_ci95,present_coverage_ci95,top1_present_ci95
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,unexposed,easy,all,B0,,,family,4,32,16,16,32,3,29,0,0,16,16,3,4.0,2.0,2.0,4.0,0.375,3.625,0.0,0.0,2.0,2.0,0.375,1.0,1.0,0.90625,0.1875,1.0,0.0,0.1875,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,unexposed,hard,all,B0,,,family,4,32,16,16,32,1,31,0,0,16,16,1,4.0,2.0,2.0,4.0,0.125,3.875,0.0,0.0,2.0,2.0,0.125,1.0,1.0,0.96875,0.0625,1.0,0.0,0.0625,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,unexposed,easy,absent_easy,B0,,,family,4,16,0,16,16,0,16,0,0,0,16,0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,unexposed,hard,absent_hard,B0,,,family,4,16,0,16,16,0,16,0,0,0,16,0,4.0,0.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,unexposed,easy,present_easy,B0,,,family,4,16,16,0,16,3,13,0,0,16,0,3,4.0,4.0,0.0,4.0,0.75,3.25,0.0,0.0,4.0,0.0,0.75,1.0,1.0,0.8125,0.1875,,0.0,0.1875,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,unexposed,hard,present_hard,B0,,,family,4,16,16,0,16,1,15,0,0,16,0,1,4.0,4.0,0.0,4.0,0.25,3.75,0.0,0.0,4.0,0.0,0.25,1.0,1.0,0.9375,0.0625,,0.0,0.0625,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,family:ell,all,all,B0,,,family,1,24,12,12,24,0,24,0,0,12,12,0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,family:ell,easy,all,B0,,,family,1,12,6,6,12,0,12,0,0,6,6,0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,family:ell,hard,all,B0,,,family,1,12,6,6,12,0,12,0,0,6,6,0,1.0,0.5,0.5,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,family:ell,easy,absent_easy,B0,,,family,1,6,0,6,6,0,6,0,0,0,6,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,family:ell,hard,absent_hard,B0,,,family,1,6,0,6,6,0,6,0,0,0,6,0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,1.0,,1.0,0.0,,,,,,
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,family:ell,easy,present_easy,B0,,,family,1,6,6,0,6,0,6,0,0,6,0,0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,0.0,0.0,,,,,
