split,family,peg_id,n,n_left_censored,min_p_yes,max_p_yes,p_yes_range,resolved_score_rises,resolved_score_falls,resolved_score_ties,unresolved_margin_steps,nonmonotonic_on_resolved_steps,violates_nondecreasing_response,tau_response,n_observed_gate_transitions,transitions
test,polygon,polygon_05,7,0,0.8236855512947431,0.8343341948650569,0.01064864357031381,3,3,0,0,True,True,always_accepts,0,[]
calib,rect,rect_01,7,0,0.7565184673237354,0.778214554947123,0.021696087623387594,3,3,0,0,True,True,always_rejects,0,[]
calib,rect,rect_02,7,0,0.76816652476974,0.7889317843218585,0.020765259552118498,4,2,0,0,True,True,one_observed_transition,1,"[{""direction_with_increasing_offset"": ""reject_to_accept"", ""from_margin_mm"": 0.1, ""from_margin_relation"": ""="", ""from_offset_mm"": 0.1, ""to_margin_mm"": 0.2999, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.3}]"
calib,rect,rect_03,7,0,0.7608179215235811,0.781490603409094,0.020672681885512967,4,2,0,0,True,True,always_rejects,0,[]
calib,rect,rect_04,7,0,0.7643636336821923,0.7901481154783527,0.02578448179616044,4,2,0,0,True,True,one_observed_transition,1,"[{""direction_with_increasing_offset"": ""reject_to_accept"", ""from_margin_mm"": 0.1, ""from_margin_relation"": ""="", ""from_offset_mm"": 0.1, ""to_margin_mm"": 0.2999, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.3}]"
calib,rect,rect_05,7,0,0.7379832052795008,0.7581933433573929,0.02021013807789207,5,1,0,0,True,True,always_rejects,0,[]
calib,square,square_01,7,0,0.7745217701236852,0.7840466485029044,0.009524878379219226,3,3,0,0,True,True,always_rejects,0,[]
calib,square,square_02,7,0,0.7817388086303181,0.7990027298000534,0.017263921169735297,3,3,0,0,True,True,multiple_observed_transitions,3,"[{""direction_with_increasing_offset"": ""reject_to_accept"", ""from_margin_mm"": -0.4248, ""from_margin_relation"": ""="", ""from_offset_mm"": -0.3, ""to_margin_mm"": -0.1416, ""to_margin_relation"": ""="", ""to_offset_mm"": -0.1}, {""direction_with_increasing_offset"": ""accept_to_reject"", ""from_margin_mm"": 0.0, ""from_margin_relation"": ""="", ""from_offset_mm"": 0.0, ""to_margin_mm"": 0.1, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.1}, {""direction_with_increasing_offset"": ""reject_to_accept"", ""from_margin_mm"": 0.1, ""from_margin_relation"": ""="", ""from_offset_mm"": 0.1, ""to_margin_mm"": 0.2999, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.3}]"
calib,square,square_03,7,0,0.777976719170218,0.7918472397073031,0.01387052053708504,3,3,0,0,True,True,one_observed_transition,1,"[{""direction_with_increasing_offset"": ""reject_to_accept"", ""from_margin_mm"": 0.1, ""from_margin_relation"": ""="", ""from_offset_mm"": 0.1, ""to_margin_mm"": 0.2999, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.3}]"
calib,square,square_04,7,0,0.7627935083633262,0.7887614512417298,0.02596794287840365,4,2,0,0,True,True,one_observed_transition,1,"[{""direction_with_increasing_offset"": ""reject_to_accept"", ""from_margin_mm"": 0.1, ""from_margin_relation"": ""="", ""from_offset_mm"": 0.1, ""to_margin_mm"": 0.2999, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.3}]"
test,star,star_01,7,1,0.7966470850197087,0.8127125766359391,0.016065491616230387,4,1,0,1,True,True,always_accepts,0,[]
test,star,star_02,7,1,0.8166894707102464,0.8351700550392835,0.018480584329037097,3,2,0,1,True,True,always_accepts,0,[]
test,star,star_03,7,1,0.80809855420893,0.8273496219788136,0.019251067769883612,3,2,0,1,True,True,always_accepts,0,[]
test,star,star_04,7,0,0.8025134525850841,0.8171105546587594,0.014597102073675261,3,3,0,0,True,True,always_accepts,0,[]
calib,tee,tee_01,7,0,0.7811438821471439,0.800167183897571,0.019023301750427102,2,4,0,0,True,True,multiple_observed_transitions,4,"[{""direction_with_increasing_offset"": ""accept_to_reject"", ""from_margin_mm"": -0.46, ""from_margin_relation"": ""="", ""from_offset_mm"": -0.3, ""to_margin_mm"": -0.1533, ""to_margin_relation"": ""="", ""to_offset_mm"": -0.1}, {""direction_with_increasing_offset"": ""reject_to_accept"", ""from_margin_mm"": -0.1533, ""from_margin_relation"": ""="", ""from_offset_mm"": -0.1, ""to_margin_mm"": -0.001, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.0}, {""direction_with_increasing_offset"": ""accept_to_reject"", ""from_margin_mm"": -0.001, ""from_margin_relation"": ""="", ""from_offset_mm"": 0.0, ""to_margin_mm"": 0.0846, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.1}, {""direction_with_increasing_offset"": ""reject_to_accept"", ""from_margin_mm"": 0.0846, ""from_margin_relation"": ""="", ""from_offset_mm"": 0.1, ""to_margin_mm"": 0.2551, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.3}]"
calib,tee,tee_02,7,0,0.7833382816869356,0.7944744446842819,0.01113616299734621,2,4,0,0,True,True,multiple_observed_transitions,2,"[{""direction_with_increasing_offset"": ""reject_to_accept"", ""from_margin_mm"": -1.8945, ""from_margin_relation"": ""="", ""from_offset_mm"": -1.2, ""to_margin_mm"": -0.9375, ""to_margin_relation"": ""="", ""to_offset_mm"": -0.6}, {""direction_with_increasing_offset"": ""accept_to_reject"", ""from_margin_mm"": 0.0, ""from_margin_relation"": ""="", ""from_offset_mm"": 0.0, ""to_margin_mm"": 0.0815, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.1}]"
calib,tee,tee_03,7,0,0.7805690839929379,0.7899252550857594,0.009356171092821497,3,3,0,0,True,True,one_observed_transition,1,"[{""direction_with_increasing_offset"": ""reject_to_accept"", ""from_margin_mm"": 0.0846, ""from_margin_relation"": ""="", ""from_offset_mm"": 0.1, ""to_margin_mm"": 0.2548, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.3}]"
calib,trapezoid,trapezoid_01,7,1,0.8052735630858463,0.8170459578959104,0.01177239481006409,5,0,0,1,False,False,always_accepts,0,[]
calib,trapezoid,trapezoid_02,7,0,0.8039924774739018,0.813936405567562,0.009943928093660181,5,1,0,0,True,True,always_accepts,0,[]
calib,trapezoid,trapezoid_03,7,0,0.7861866524575359,0.8001351868252828,0.013948534367746901,2,4,0,0,True,True,multiple_observed_transitions,2,"[{""direction_with_increasing_offset"": ""accept_to_reject"", ""from_margin_mm"": -0.4756, ""from_margin_relation"": ""="", ""from_offset_mm"": -0.3, ""to_margin_mm"": -0.1592, ""to_margin_relation"": ""="", ""to_offset_mm"": -0.1}, {""direction_with_increasing_offset"": ""reject_to_accept"", ""from_margin_mm"": -0.1592, ""from_margin_relation"": ""="", ""from_offset_mm"": -0.1, ""to_margin_mm"": 0.0, ""to_margin_relation"": ""="", ""to_offset_mm"": 0.0}]"
