analysis,dataset,threshold_policy,families,tier,regime,method,tau,delta,weighting,n_families,n,n_present,n_absent,selected,correct,wrong,deferred,failures,present_selected,absent_selected,top1_correct,weighted_n,weighted_n_present,weighted_n_absent,weighted_selected,weighted_correct,weighted_wrong,weighted_deferred,weighted_failures,weighted_present_selected,weighted_absent_selected,weighted_top1_correct,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present,correct_yield_ci95,accepted_risk_ci95,absent_false_accept_ci95,present_coverage_ci95,top1_present_ci95
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,all,all,S1,0.7887614512417298,,family,7,112,56,56,74,20,54,38,0,39,35,26,7.0,3.5,3.5,4.8,1.3875,3.4124999999999996,2.2,0.0,2.533333333333333,2.2666666666666666,1.7125,0.6857142857142857,0.7238095238095238,0.7109375,0.3964285714285714,0.6476190476190476,0.0,0.48928571428571427,"[0.22380952380952382, 0.5773809523809523]","[0.5891089108910891, 0.8324652777777778]","[0.4666666666666667, 0.8095238095238095]","[0.5714285714285714, 0.880952380952381]","[0.28095238095238095, 0.6869047619047619]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,easy,all,S1,0.7887614512417298,,family,7,56,28,28,38,11,27,18,0,20,18,14,7.0,3.5,3.5,4.883333333333333,1.5333333333333332,3.3499999999999996,2.1166666666666667,0.0,2.5749999999999997,2.308333333333333,1.8583333333333334,0.6976190476190476,0.7357142857142857,0.6860068259385665,0.43809523809523804,0.6595238095238095,0.0,0.530952380952381,"[0.23809523809523808, 0.6666666666666667]","[0.532608695652174, 0.8360655737704918]","[0.4714285714285714, 0.8214285714285714]","[0.5785714285714285, 0.8904761904761905]","[0.2857142857142857, 0.7642857142857142]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,hard,all,S1,0.7887614512417298,,family,7,56,28,28,36,9,27,20,0,19,17,12,7.0,3.5,3.5,4.716666666666667,1.2416666666666667,3.4749999999999996,2.283333333333333,0.0,2.4916666666666667,2.225,1.5666666666666667,0.6738095238095239,0.7119047619047619,0.7367491166077738,0.3547619047619048,0.6357142857142858,0.0,0.44761904761904764,"[0.2119047619047619, 0.4976190476190476]","[0.6363636363636362, 0.8392857142857144]","[0.46190476190476193, 0.7976190476190476]","[0.5642857142857143, 0.869047619047619]","[0.2619047619047619, 0.6285714285714287]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,all,all,S2,0.7887614512417298,0.0,family,7,112,56,56,74,20,54,38,0,39,35,26,7.0,3.5,3.5,4.8,1.3875,3.4124999999999996,2.2,0.0,2.533333333333333,2.2666666666666666,1.7125,0.6857142857142857,0.7238095238095238,0.7109375,0.3964285714285714,0.6476190476190476,0.0,0.48928571428571427,"[0.22380952380952382, 0.5773809523809523]","[0.5891089108910891, 0.8324652777777778]","[0.4666666666666667, 0.8095238095238095]","[0.5714285714285714, 0.880952380952381]","[0.28095238095238095, 0.6869047619047619]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,easy,all,S2,0.7887614512417298,0.0,family,7,56,28,28,38,11,27,18,0,20,18,14,7.0,3.5,3.5,4.883333333333333,1.5333333333333332,3.3499999999999996,2.1166666666666667,0.0,2.5749999999999997,2.308333333333333,1.8583333333333334,0.6976190476190476,0.7357142857142857,0.6860068259385665,0.43809523809523804,0.6595238095238095,0.0,0.530952380952381,"[0.23809523809523808, 0.6666666666666667]","[0.532608695652174, 0.8360655737704918]","[0.4714285714285714, 0.8214285714285714]","[0.5785714285714285, 0.8904761904761905]","[0.2857142857142857, 0.7642857142857142]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,hard,all,S2,0.7887614512417298,0.0,family,7,56,28,28,36,9,27,20,0,19,17,12,7.0,3.5,3.5,4.716666666666667,1.2416666666666667,3.4749999999999996,2.283333333333333,0.0,2.4916666666666667,2.225,1.5666666666666667,0.6738095238095239,0.7119047619047619,0.7367491166077738,0.3547619047619048,0.6357142857142858,0.0,0.44761904761904764,"[0.2119047619047619, 0.4976190476190476]","[0.6363636363636362, 0.8392857142857144]","[0.46190476190476193, 0.7976190476190476]","[0.5642857142857143, 0.869047619047619]","[0.2619047619047619, 0.6285714285714287]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,all,all,U0,,,family,7,112,56,56,112,26,86,0,0,56,56,26,7.0,3.5,3.5,7.0,1.7125,5.2875,0.0,0.0,3.5,3.5,1.7125,1.0,1.0,0.7553571428571428,0.48928571428571427,1.0,0.0,0.48928571428571427,"[0.28095238095238095, 0.6869047619047619]","[0.656547619047619, 0.8595238095238095]","[1.0, 1.0]","[1.0, 1.0]","[0.28095238095238095, 0.6869047619047619]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,easy,all,U0,,,family,7,56,28,28,56,14,42,0,0,28,28,14,7.0,3.5,3.5,7.0,1.8583333333333334,5.141666666666667,0.0,0.0,3.5,3.5,1.8583333333333334,1.0,1.0,0.7345238095238095,0.530952380952381,1.0,0.0,0.530952380952381,"[0.2857142857142857, 0.7642857142857142]","[0.6178571428571429, 0.8571428571428571]","[1.0, 1.0]","[1.0, 1.0]","[0.2857142857142857, 0.7642857142857142]"
corrective reanalysis after test inspection,primary_calibration,posthoc_thresholds,all,hard,all,U0,,,family,7,56,28,28,56,12,44,0,0,28,28,12,7.0,3.5,3.5,7.0,1.5666666666666667,5.433333333333334,0.0,0.0,3.5,3.5,1.5666666666666667,1.0,1.0,0.7761904761904762,0.44761904761904764,1.0,0.0,0.44761904761904764,"[0.2619047619047619, 0.6285714285714287]","[0.6857142857142858, 0.869047619047619]","[1.0, 1.0]","[1.0, 1.0]","[0.2619047619047619, 0.6285714285714287]"
corrective reanalysis after test inspection,primary_test,original_thresholds,all,all,all,B0,,,family,7,116,58,58,116,24,92,0,0,58,58,24,7.0,3.5,3.5,7.0,1.4,5.6,0.0,0.0,3.5,3.5,1.4,1.0,1.0,0.7999999999999999,0.39999999999999997,1.0,0.0,0.39999999999999997,"[0.14285714285714285, 0.6714285714285715]","[0.6642857142857144, 0.9285714285714286]","[1.0, 1.0]","[1.0, 1.0]","[0.14285714285714285, 0.6714285714285715]"
