method,families,tier,tau,delta,n,n_present,n_absent,selected,correct,wrong,deferred,failures,coverage,present_coverage,accepted_risk,correct_yield,absent_false_accept,failure_rate,top1_present
S2,unexposed,hard,0.7448466506520907,0.0,32.0,16.0,16.0,25.0,4.0,21.0,7.0,0.0,0.78125,0.6875,0.84,0.25,0.875,0.0,0.3125
U0,all,all,,,112.0,56.0,56.0,112.0,21.0,91.0,0.0,0.0,1.0,1.0,0.8125,0.375,1.0,0.0,0.375
U0,all,easy,,,56.0,28.0,28.0,56.0,11.0,45.0,0.0,0.0,1.0,1.0,0.8035714285714286,0.39285714285714285,1.0,0.0,0.39285714285714285
U0,all,hard,,,56.0,28.0,28.0,56.0,10.0,46.0,0.0,0.0,1.0,1.0,0.8214285714285714,0.35714285714285715,1.0,0.0,0.35714285714285715
U0,exposed,all,,,48.0,24.0,24.0,48.0,10.0,38.0,0.0,0.0,1.0,1.0,0.7916666666666666,0.4166666666666667,1.0,0.0,0.4166666666666667
U0,exposed,easy,,,24.0,12.0,12.0,24.0,5.0,19.0,0.0,0.0,1.0,1.0,0.7916666666666666,0.4166666666666667,1.0,0.0,0.4166666666666667
U0,exposed,hard,,,24.0,12.0,12.0,24.0,5.0,19.0,0.0,0.0,1.0,1.0,0.7916666666666666,0.4166666666666667,1.0,0.0,0.4166666666666667
U0,unexposed,all,,,64.0,32.0,32.0,64.0,11.0,53.0,0.0,0.0,1.0,1.0,0.828125,0.34375,1.0,0.0,0.34375
U0,unexposed,easy,,,32.0,16.0,16.0,32.0,6.0,26.0,0.0,0.0,1.0,1.0,0.8125,0.375,1.0,0.0,0.375
U0,unexposed,hard,,,32.0,16.0,16.0,32.0,5.0,27.0,0.0,0.0,1.0,1.0,0.84375,0.3125,1.0,0.0,0.3125
